dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,0.5,0.5,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.3873750734682594
BigVul,0.5,0.5,0.05,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.45405113274698106
BigVul,0.5,0.5,0.05,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.48096321969855366
BigVul,0.5,0.5,0.05,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.4995775514103582
BigVul,0.5,0.5,0.05,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.5115778391852399
BigVul,0.5,0.5,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.3747986577668437
BigVul,0.5,0.5,0.1,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.4390093052051535
BigVul,0.5,0.5,0.1,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.463500220985555
BigVul,0.5,0.5,0.1,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.4798462129290197
BigVul,0.5,0.5,0.1,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.48904641132235904
BigVul,0.5,0.5,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.3496458263640123
BigVul,0.5,0.5,0.2,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.4089256501214984
BigVul,0.5,0.5,0.2,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.42857422355955754
BigVul,0.5,0.5,0.2,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.4403835359663427
BigVul,0.5,0.5,0.2,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.44592382444977213
BigVul,0.5,1.0,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.2081644855595668
BigVul,0.5,1.0,0.0,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.30754061371841146
BigVul,0.5,1.0,0.0,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.3557141245487365
BigVul,0.5,1.0,0.0,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.39239101985559555
BigVul,0.5,1.0,0.0,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.4257319494584838
BigVul,0.5,1.0,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.2031339192790005
BigVul,0.5,1.0,0.02,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.30152388270168046
BigVul,0.5,1.0,0.02,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.34872892506353703
BigVul,0.5,1.0,0.02,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.3844984844630602
BigVul,0.5,1.0,0.02,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.4165685002950346
BigVul,0.5,1.0,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.19558806985815108
BigVul,0.5,1.0,0.05,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.2924987861765839
BigVul,0.5,1.0,0.05,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.3382511258357378
BigVul,0.5,1.0,0.05,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.3726596813742571
