negative_mode,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,debt_adjusted_utility,meets_false_constraint
same_cwe_different_cve,risk_only,Risk only,0.6827719999999999,2799,2799,3155,5598,5954,5954,0.4701041316761841,0.4701041316761841,0.5,0.4701041316761841,-1.0961874370171316,False
same_cwe_different_cve,risk_only,Risk only,0.679204,2851,2851,3103,5702,5954,5954,0.4788377561303325,0.4788377561303325,0.5,0.4788377561303325,-1.1119079610345985,False
same_cwe_different_cve,risk_only,Risk only,0.673636,2898,2898,3056,5796,5954,5954,0.48673160900235135,0.48673160900235135,0.5,0.48673160900235135,-1.1261168962042325,False
same_cwe_different_cve,risk_only,Risk only,0.6703520000000001,2956,2956,2998,5912,5954,5954,0.4964729593550554,0.4964729593550554,0.5,0.4964729593550554,-1.1436513268390998,False
same_cwe_different_cve,risk_only,Risk only,0.666844,2999,2999,2955,5998,5954,5954,0.5036949949613705,0.5036949949613705,0.5,0.5036949949613705,-1.156650990930467,False
same_cwe_different_cve,risk_only,Risk only,0.6617360000000001,3044,3044,2910,6088,5954,5954,0.5112529392005375,0.5112529392005375,0.5,0.5112529392005375,-1.1702552905609673,False
same_cwe_different_cve,risk_only,Risk only,0.6572199999999999,3095,3095,2859,6190,5954,5954,0.51981860933826,0.51981860933826,0.5,0.51981860933826,-1.185673496808868,False
same_cwe_different_cve,risk_only,Risk only,0.65162,3134,3134,2820,6268,5954,5954,0.5263688276788714,0.5263688276788714,0.5,0.5263688276788714,-1.1974638898219685,False
same_cwe_different_cve,risk_only,Risk only,0.64782,3184,3184,2770,6368,5954,5954,0.534766543500168,0.534766543500168,0.5,0.534766543500168,-1.2125797783003025,False
same_cwe_different_cve,risk_only,Risk only,0.644368,3230,3230,2724,6460,5954,5954,0.5424924420557609,0.5424924420557609,0.5,0.5424924420557609,-1.2264863957003695,False
same_cwe_different_cve,risk_only,Risk only,0.641988,3279,3279,2675,6558,5954,5954,0.5507222035606315,0.5507222035606315,0.5,0.5507222035606315,-1.2412999664091369,False
same_cwe_different_cve,risk_only,Risk only,0.6383080000000001,3317,3317,2637,6634,5954,5954,0.5571044675848169,0.5571044675848169,0.5,0.5571044675848169,-1.2527880416526704,False
same_cwe_different_cve,risk_only,Risk only,0.63572,3370,3370,2584,6740,5954,5954,0.5660060463553913,0.5660060463553913,0.5,0.5660060463553913,-1.2688108834397043,False
same_cwe_different_cve,risk_only,Risk only,0.6309720000000001,3423,3423,2531,6846,5954,5954,0.5749076251259657,0.5749076251259657,0.5,0.5749076251259657,-1.2848337252267383,False
same_cwe_different_cve,risk_only,Risk only,0.627384,3492,3492,2462,6984,5954,5954,0.586496472959355,0.586496472959355,0.5,0.586496472959355,-1.305693651326839,False
same_cwe_different_cve,risk_only,Risk only,0.62278,3534,3534,2420,7068,5954,5954,0.5935505542492442,0.5935505542492442,0.5,0.5935505542492442,-1.3183909976486392,False
same_cwe_different_cve,risk_only,Risk only,0.617576,3582,3582,2372,7164,5954,5954,0.6016123614376889,0.6016123614376889,0.5,0.6016123614376889,-1.33290225058784,False
same_cwe_different_cve,risk_only,Risk only,0.612004,3623,3623,2331,7246,5954,5954,0.6084984884111522,0.6084984884111522,0.5,0.6084984884111522,-1.345297279140074,False
same_cwe_different_cve,risk_only,Risk only,0.6078680000000001,3672,3672,2282,7344,5954,5954,0.6167282499160228,0.6167282499160228,0.5,0.6167282499160228,-1.3601108498488412,False
same_cwe_different_cve,risk_only,Risk only,0.603992,3719,3719,2235,7438,5954,5954,0.6246221027880416,0.6246221027880416,0.5,0.6246221027880416,-1.374319785018475,False
same_cwe_different_cve,risk_only,Risk only,0.600068,3759,3759,2195,7518,5954,5954,0.631340275445079,0.631340275445079,0.5,0.631340275445079,-1.3864124958011421,False
same_cwe_different_cve,risk_only,Risk only,0.596268,3817,3817,2137,7634,5954,5954,0.641081625797783,0.641081625797783,0.5,0.641081625797783,-1.4039469264360092,False
same_cwe_different_cve,risk_only,Risk only,0.593036,3897,3897,2057,7794,5954,5954,0.6545179711118576,0.6545179711118576,0.5,0.6545179711118576,-1.4281323480013437,False
same_cwe_different_cve,risk_only,Risk only,0.58938,3938,3938,2016,7876,5954,5954,0.6614040980853207,0.6614040980853207,0.5,0.6614040980853207,-1.440527376553577,False
same_cwe_different_cve,risk_only,Risk only,0.584668,3975,3975,1979,7950,5954,5954,0.6676184077930802,0.6676184077930802,0.5,0.6676184077930802,-1.4517131340275444,False
same_cwe_different_cve,risk_only,Risk only,0.580732,4026,4026,1928,8052,5954,5954,0.6761840779308028,0.6761840779308028,0.5,0.6761840779308028,-1.4671313402754451,False
